CPF,NOME,BAIRRO,CIDADE,ESTADO,GENERO
19290992743,"Fernando Cavalcante","Água Santa","Rio de Janeiro",RJ,M
2600586709,"César Teixeira",Tijuca,"rio",RJ,M
3623344710,"Marcos Nougeuira",Inhauma,"Rio de Janeiro",RJ,M
492472718,"Eduardo Jorge",Tijuca,"rio de Janeiro",RJ,M
50534475787,"Abel Silva ",Humaitá,"Rio de Janeiro",RJ,M
5648641702,"Paulo César Mattos",Tijuca,"Rio de Janeiro",RJ,M
9283760794,"Edson Meilelles","Cidade Nova","Rio de Janeiro",RJ,M
94387575700,"Walber Lontra",Piedade,"R. de Janeiro",RJ,M
95939180787,"Fábio Carvalho","Barra da Tijuca","Rio de Janeiro",RJ,M
9593914441,"Carlos Machado","Copacabana","Rio de Janeiro",RJ,M
95343214441,"Juliano Pereira","Copacabana","Rio de Janeiro",RJ,M
